"Date","Transaction","Name","Memo","Amount"
"2026-05-01","DEBIT","SQ *RODRIGUES STRAWBER Saratoga      CA","24692166120405004523203; 05499; ; ; ;","-7.00"
"2026-05-01","DEBIT","ORDER.MEALKEYWAY.COM   ORDER.MEALKEY CA","24000776120100036277414; 05812; ; ; ;","-26.40"
"2026-05-01","CREDIT","LULULEMONCOM*          877-263-9300  CA","74692166120404521740601; 05691; ; ; ;","74.63"
"2026-05-01","DEBIT","CHOICELUNCH            855-465-8624  CA","24692166121405368495286; 09399; ; ; ;","-50.00"
"2026-04-30","DEBIT","carters Inc.          877-333-0117  GA","24137466120600206474463; 05641; ; ; ;","-55.43"
"2026-04-29","DEBIT","SHANG CAFE SAN JOSE    ORDER.MEALKEY CA","24011346119100029599958; 05812; ; ; ;","-57.20"
"2026-04-28","DEBIT","TRADER JOE S #232      SAN JOSE      CA","24137466117500841880980; 05411; ; ; ;","-88.67"
"2026-04-28","DEBIT","CVS/PHARMACY #09257    SAN JOSE      CA","24137466118001174637948; 05912; ; ; ;","-11.00"
"2026-04-28","DEBIT","IN *BRIGHT STARS PEDIA 408-3661098   CA","24692166117402305724353; 08099; ; ; ;","-177.00"
"2026-04-28","DEBIT","DEVELOPMENT IS CHILDS  WWW.DEVELOPME CA","24492166117100051670489; 08099; ; ; ;","-230.00"
"2026-04-28","DEBIT","SAN JOSE WATER COMPANY 408-279-7900  CA","24692166118402604096957; 04900; ; ; ;","-242.90"
"2026-04-28","CREDIT","PAYMENT   THANK YOU","WEB AUTOMTC; 00300; ; ; ;","5241.57"
"2026-04-27","DEBIT","HANKOOK SUPERMARKET    SUNNYVALE     CA","24801976115727797494012; 05411; ; ; ;","-30.61"
"2026-04-27","DEBIT","SP SCHOLARWEAR UNIFO   SCHOLARWEAR-U UT","24011346115100050145113; 05137; ; ; ;","-43.75"
"2026-04-27","DEBIT","SHANG CAFE SAN JOSE    ORDER.MEALKEY CA","24011346115100137617001; 05812; ; ; ;","-52.80"
"2026-04-24","DEBIT","SHANG CAFE SAN JOSE    ORDER.MEALKEY CA","24011346113100151221849; 05812; ; ; ;","-36.30"
"2026-04-24","DEBIT","CHOICELUNCH            855-465-8624  CA","24692166114408695531699; 09399; ; ; ;","-50.00"
"2026-04-21","DEBIT","TRADER JOE S #232      SAN JOSE      CA","24137466110500827354783; 05411; ; ; ;","-45.37"
"2026-04-21","DEBIT","CHEVRON 0095954        CUPERTINO     CA","24692166111405926655522; 05542; ; ; ;","-78.71"
"2026-04-21","DEBIT","IN *BRIGHT STARS PEDIA 408-3661098   CA","24692166110405760054064; 08099; ; ; ;","-177.00"
